S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
1107,Muhammad Saleem Akhtar,Minhaj University Lahore,CS & IT,Punjab,Chairman,MS,University of Lahore,Pakistan,,,
1108,Dr. Muhammad Adeel Talib,Minhaj University Lahore,CS & IT,Punjab,Assistant Professor,PhD,,,,,
1109,Muhammad Sheraz Tariq,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Minhaj University Lahore,Pakistan,,,
1110,Muhammad Hussain,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,,,
1111,Saif Bajwa,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,,,
1112,Sohail Irshad,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Lahore Leads University,Pakistan,,,
1113,Shahaan Siddique,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Management and Technology,Pakistan,,,
1114,Hafsa Khalid,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Punjab University College of Information Technology,Pakistan,,,
1115,Muhammad Zubair,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Lahore Leads University,Pakistan,,,
1116,Naveed Shah,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,,,
1117,Shahid Saleem,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,"COMSATS Institute of Information Technology,Islamabad",Pakistan,,,
1118,Ahmad Hassan,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Middlesex University,UK,,,
1119,Saqlain Ahmad,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Beijing Institute of Technology Beijing,China,,,
1120,Syed Younus Ali,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,,,
1121,Mr. M. Ahmad Akhtar,Minhaj University Lahore,CS & IT,Punjab,I.T Manager,BCS,National College of Business Administration and Economics,Pakistan,,,
1122,Khaver Zia,Beaconhouse National University,School of Information and Technology,Punjab,Professor/Dean,PhD,University of Manchester,UK,,Computer Control,
1123,Shazia Rizwan,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor/HoD ,MS,University of the Punjab,Pakistan,,Educational Quality Management and Databases Design,
1124,Syed Nouman Ali Shah,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MSc,University of Engineering and Technology,Pakistan,,"Software Design & Architecture, Algorithms Refinement, Design Patterns & Frameworks, Enterprise Systems, Information Systems Development & Management, Knowledge Management Systems, Technology Management & Consulting, Technopreneurship, Systems Thinking.",
1125,Natash Ali Mian,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,"Software Engineering, Requirement Engineering, Database Modeling, Software Quality Assurance, Reverse Engineering, Formal Methods, Self Adaptive Systems, Cloud Computing, Fault Tolerant Systems",PhD in progress
1126,Huda Sarfaraz,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
1127,Zubair Anwar,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MSc,"University of Engineering and Technology,Taxila",Pakistan,,"Business Processes, Strategic Management, Operations Research, Management Consultant in Strategy Planning, Operations Management, Program Management",
1128,Sameen Reza,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,Virtual University of Pakistan,Pakistan,,,
1129,Amna Humayun,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
1130,Salman Butt,Beaconhouse National University,School of Information and Technology,Punjab,Lecturer,MS,Beaconhouse National University,Pakistan,,"Finance, Business Management and Accounting",
1131,Saad Saleem Malik,Beaconhouse National University,School of Information and Technology,Punjab,Lecturer,MS,Beaconhouse National University,Pakistan,,Research based teaching,
1132,Tehmina Kausar,Beaconhouse National University,School of Information and Technology,Punjab,Lecturer,MS,Universtiy of Lahore,Pakistan,,,
1133,Prof. Dr. Mohammad Ali Maud,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Professor,Ph.D,,,,"Spectral Estimation,Control Theory,Biomedical Signal Processing,Speech Processing,System Identification
",
1134,Prof. Dr. Muhammad Shahbaz,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Professor,Ph.D,,,,"Knowledge Discovery in Databases (Data Mining), Data Modelling, Artificial Intelligence, Machine Learning, Health Informatics, Text Mining,",
1135,Dr. Khadim Hussain Asif,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Professor,Phd,,,,,
1136,Prof. Dr. Muhammad Shoaib,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Professor,Ph.D,,,,,
1137,Dr. Shazia Arshad,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Professor,Ph.D,,,,,
1138,Dr. Syed Muhammad Ahsan,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,,
1139,Dr. Irfan Ullah Ch.,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,,
1140,Dr. Amjad Farooq,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,,
1141,Dr. Muhammad Afzal,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,"Natural Language Processing,Algorithm Analysis and Design,Speech Processing,Image Processing,Computer Programming
",
1142,Dr. Tauqir Ahmad,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,,
1143,Dr. Muhammad Junaid Arshad,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,"Heterogeneous Networks and Services,Network Simulation and Modeling,Network Protocols and Security,Multi-homed Networks focusing on Performance,Wireless & Mobile Communication,Telecommunication Networks
",
1144,Dr. Muhammad Aslam,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,"Artificial Intelligence,Intelligent agents,Multiagent agents,Computer Supported Cooperative Work,E-learning,E-health,Natural Language Processing (NLP),Speech Processing,    Distributed Systems,Cloud Computing,Human Computer Interaction (HCI),Speech Processing,Image processing
",
1145,Dr. Muhammad Faisal Hayat,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,PhD,,,,Modelling & Analysis of Computer Networks,
1146,Dr. Yasir Saleem,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,,
1147,Dr. Hafiz Muhammad Shahzad Asif,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,PhD,,,,Machine Learning applications in Big data,
1148,Dr. Muhammad Usman Ghani Khan,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,"Natural Language Processing, Computer Vision,Image Processing, Computer Graphics, Augmented Reality, Audio, Speech Processing, Recognition and Perception,Cloud Computing - Software Design and Security Perspectivs,Machine learning for Bioinformatics Data
",
1149,Sh. Faisal Rashid,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,Ph.D,,,,,
1150,Mr. Talha Waheed,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,Ph.D,,,,"Knowledge Based Systems,eHealth & eLearning
",
1151,Dr. Ali Hammad Akbar,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,Ph.D,,,,"Emergency Management IT Framework,Urban Transportation and IT,Technology-driven Urban Sprawl Management,Commercial Applications of Wireless Networks,    Simulations for Enmasse Vocational Training
",
1152,Dr. Syed Khaldoon Khurshid,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,PhD,,,,"Information Retrieval Systems,Human Computer Interaction,Computer Literacy in common people
",
1153,Mr. Asim Rehmat,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,M.S,,,,"Robotics,Artificial Intelligence,Machine Learning,Automated Test Systems,Embedded Systems
",
1154,Dr. Muhammad Awais Hassan,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,Ph.D,,,,,
1155,Ms. Hina Khalid,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,M.Sc,,,,,
1156,Dr. Tania Habib,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,Ph.D,,,,"Digital Signal Processing,Array Signal Processing,Speech Communication,Statistical Signal Processing
",
1157,Ahmad Awais,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Lecturer,M.Sc,,,,,
1158,Mr. Samyan Wahla,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Lecturer,M.S,,,,"Computer Vision,Data Science,Machine Leanring
",
1159,Ms. Sahar Waqar,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Lecturer,M.Phil,,,,,
1160,Ms. Zaib Un Nisa,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Lecturer,M.Sc,,,,,
1161,Atif Hussain,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Lecturer,M.Sc,,,,,
1162,Muhammad Altaf Mukati,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Vice President/Dean,PhD,Hamdard University,Pakistan,,,
1163,Imran Amin,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Associate Professor/HoD,PhD,Loughborough University,UK,,"Embedded Systems, Artificial Intelligence and Image Processing",
1164,Asim Riaz,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,Computing Sciences,
1165,Husnain Mansoor Ali,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Associate Professor,PhD,University Paris,France,,Networking,
1166,Faria Jameel,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,Computing Sciences,PhD in progress from Shaheed Zulfikar Ali Bhutto Institute of Science and Technology
1167,Muhammad Asim Ali,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MSc,University of Sunderland,UK,,Project Management,
1168,Khurram Raza,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Lecturer,MSc,Sindh University,Pakistan,,Mathematics,
1169,Shahzad Haroon,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,ME,NED University of Engineering And Technology,Pakistan,,Telecommunication,
1170,Adeel Ahmed,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,University of Florida,USA,,Software Engineering and Programming,
1171,Naveed Ghani,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Staffordshire University,UK,,Mobile Computing,PhD in progress from ISRA University
1172,Khalid Rasheed,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,,
1173,Zareen Sharf,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,,,
1174,Khawaja Mohiuddin,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,"DePaul University, Chicago",USA,,,
1175,Ali Zaman,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Lecturer,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,"Machine Learning, TSP Optimization",
1176,Naila Shah,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Lecturer,MS,University of Kent,UK,,Distributed System & Networks,
1177,Muhammad Saleem Vighio,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Associate Professor,PhD,,Denmark,,,
1178, Zahid Hussain Abro,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Professor,PhD,,Austria,,,
1179,Muhammad Ibrahim Channa,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Professor/Chairman,PhD,Asian Institute of Technology,Thailand,,,
1180,Akhtar Hussain Jalbani,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Associate Professor,PhD,,Thailand,,,
1181,Nazar Hussain Phulpoto,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Associate Professor,PhD,,China,,,
1182,Rafia Naz Memon,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,PhD,,Malaysia,,,
1183,Fiza Siyal,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,ME,Mehran University of Engineering & Technology,Pakistan,,Software Testing and Quality Assurance ,
1184,Saifullah Memon,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,
1185,Asghar Ali Chandio,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,Computer Vision and Pattern Recognition ,
1186,Saima Siraj Soomro,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,
1187,Shah Zaman,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,,,
1188,Baqar Ali Zardari,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,
1189,Waqas Ali Sahito,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1190,Zeeshan Rasool Memon,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Lecturer,MS,,Malaysia,,,
1191,Ghulam Hussain Jalbani,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Lecturer,BS,,,,,
1192,Mukhtiar Ali Unar,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Professor,PhD,,,,,
1193,Sheeraz Memon,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Associate Professor,PhD,,,,,
1194,Tariq Jamil Saifullah Khanzada,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Professor,PhD,,,,,
1195,Javed Ali Baloch,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Associate Professor,PhD,,,,,
1196,Shahnawaz Talpur,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Associate Professor,PhD,,,,,
1197,Liaquat Ali Thebo,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Assistant Professor,,,,,,
1198,Naveed Ahmed Jaffari,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Associate Professor,,,,,,
1199,Arbab Ali Samejo,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Associate Professor,,,,,,
1200,Rizwan Badar Baloch,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Associate Professor,,,,,,
1201,Adnan Ashraf Arain,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Associate Professor,PhD,,,,,
1202,Noor-u-Zaman Laghari,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Associate Professor,PhD,,,,,
1203,Bushra Naz,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Lecturer,,,,,,
1204,Sammer Zai,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Lecturer,PhD,,,,,
1205,Ahsan Ansari,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Lecturer,PhD,,,,,
1206,Ali Asghar Manjotho,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Lecturer,,,,,,
1207,Fawad Mangi,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Lecturer,,,,,,
1208,Noor Ahmed Shaikh,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,,PhD,,Pakistan,,,
1209,Mumtaz Hussain Mahar,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Dean,PhD,,UK,,,
1210,Javed Ahmed Mahar,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Associate Professor/Chairman,PhD,,Pakistan,,,
1211,Hidayatullah Shaikh,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Assistant Professor,MS,,Pakistan,,,
1212,Abdul Wahid Shaikh,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Assistant Professor,MS,,Pakistan,,,
1213,Abdul Rauf Avesi,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Assistant Professor,MS,,Pakistan,,,
1214,Asadullah Kehar,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Assistant Professor,MS,,France,,,
1215,Masooque Ali Mahar,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Assistant Professor,MS,,Pakistan,,,PhD in progress
1216,Shahid Hussain Danwer,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Lecturer,MS,,Pakistan,,,
1217, Rafaqat Hussain Arain,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Assistant Professor,PhD,,China,,,
1218,Riaz Ahmed Shaikh,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Assistant Professor,PhD,,China,,,
1219,Samina Rajper,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Assistant Professor,PhD,"Shah Abdul Latif University, Khairpur",Pakistan,,,
1220,Mairaj Nabi Bhatti,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Assistant Professor,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,PhD in progress from QUEST
1221,Marina Sherbaz Mari,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Lecturer,MS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,
1222,Zaira Hassan Amur,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Lecturer,BS,Sindh University,Pakistan,,,MS in progress from Sindh University Jamshoro
1223,Mohsin Amur,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Lecturer,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1224,Sagheer Rajper,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Lecturer,BS,Sindh Agriculture University,Pakistan,,,MS in progress from Tondo-Jam University
1225,Imran Ali Memon,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Lecturer,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1226,Shabab Akram,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Research Associate,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1227,Abdul Jabbar Brohi,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Research Associate,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1228,Shahzad Khaskheli,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Research Associate,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1229,Imran Asif Memon,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Research Associate,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1230,Umair Ramzan Sheikh,"Shaheed Benazir Bhutto University,Shaheed Benazirabad
",Information Technology,Sindh,Lecturer,BS,"Quaid-e-Awam University of Engineering, Science & Technology",Pakistan,,,MS in progress from QUEST
1231,MUHAMMAD SALEEM CHANDIO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor/Director & Registrar,PhD,Swansea,UK,2002,,
1232,RIAZ AHMED MEMON,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,University of Shanghai for Science and Technology,China,1993,Mathematics,
1233,ABDUL SATTAR SOOMRO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,Post Doc,"Griffith University,Nathan Campus",Australia,2005,,
1234,ABDUL GHAFOOR MEMON,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,Post Doc,,Canada,,"Distributed Applications,Systems Management,Policy-Based Management,QoS Management,Autonomic Computing,Cloud Computing,Big Data Virtualization,Resource Management,Context-Aware Applications,Web developer with System analysis and Web site Design and application integration.",
1235,SHAIKH ABDUL WASIM,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,,China,2006,,
1236,AYAZ KEERIO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,University of Sussex,UK,2011,"Digital Signal Processing,Speech Recognition and Synthesis systems,Computer Networks.",
1237,JALBANI SHAMSUDDIN,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,MS,Sindh University,Pakistan,1985,,
1238,BALOCH MUJEEB-U-REHMAN MAREE,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,,China,2006,,
1239,SOOMRO ABDUL KARIM,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,MSc,Sindh University,Pakistan,1987,,
1240,MEMON FIAZ AHMED,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,MSc,Sindh University,Pakistan,,,
1241,HUSSAINI NAZISH NAWAZ,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,Mphil,Sindh University,Pakistan,2008,,
1242,ZAIN-UL-ABDIN KHUHRO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,University of Essex,UK,2011,"Bioinformatics,Structural biology,Graph theory,Operations Research",
1243,MALLAH MUHAMMAD RAFIQUE,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,MSc,Sindh University,Pakistan,,,
1244,FARHAT NAUREEN MEMON,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Essex,UK,2012,,
1245,HYDER ALI NIZAMANI,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Leicester,UK,2012,,
1246,QURAT UL AIN NIZAMANI,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Leicester,UK,2012,,
1247,NOOR JEHAN RAJPER,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,PhD,University of Leicester,UK,2012,,
1248,IMTIAZ ALI KOREJO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Leicester,UK,2012,,
1249,YASIR ARFAT MALKANI,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Sussex,UK,2011,"Pervasive Computing,secure device/service discovery, activity recognition and access control mechanisms using proximity/sensors' data, policy-based systems, context-awareness and adaptation mechanisms,sensor networks, wireless networks (including WiFi, Bluetooth, WiMAX, etc), and solutions to various issues in distributed and pervasive computing systems through the integration of tools and techniques from distinct disciplines/areas.  ",
1250,AFTAB AHMED CHANDIO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,PhD,Chinese Academy of Sciences,China,2016,"resource management, job scheduling strategies, energy efficiency, and workload characterization for performance optimization of parallel and distributed systems such as cloud computing, and location-based services i.e., map-matching strategy for GPS trajectories",
1251,FIDA HUSSAIN CHANDIO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,Post Doc,"International Islamic University,Islamabad",Malaysia,2015,computing and information systems domain.,
1252,NANGRAJ ABDUL REHMAN,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,BS,Sindh University,Pakistan,2005,,
1253,BROHI KAMRAN,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,MSc,Sindh University,Pakistan,,,
1254,UNAR KULSOOM SAIMA,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,Mphil,Sindh University,Pakistan,2015,,
1255,BULEDI ASADULLAH,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,BS,Sindh University,Pakistan,2007,,
1256,SOOMRO ASIA KHATOON,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,,,,,,
1257,KASHIF MEMON,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,MS,Sindh University,Pakistan,2015,,
1258,ZUBAIR AHMED KALHORO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,PhD,Xiamen university,China,2016,"Numerical linear algebra,Matrix Computation,Numerical Analysis",
1259,SYEDA HIRA FATIMA NAQVI,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,B.Ed,Sindh University,Pakistan,2012,,Phil leading to Ph.D. (Course Work 4 CGPA) from University of Sindh
1260,Hasina Khatoon,FAST(Karachi),Computer Science,Sindh,Professor,PhD,NED University of Engineering And Technology,Pakistan,, High Performance Computing with special emphasis on new and emerging architectures including multicore processors,
1261,Jawad Ahmed Shamsi,FAST(Karachi),Computer Science,Sindh,Professor,PhD,Wayne State University,USA,2009,,
1262,Muhammad Atif Tahir,FAST(Karachi),Computer Science,Sindh,Professor,PhD,The Queens University of Belfast,UK,2006,"Machine Learning & Combinatorial Optimization Techniques with applications in image / video retrieval, cancer classification, surface inspection, bioinformatics, multi-label classification, and face recognition",
